Impression_ID,Userid,Listing_ID,Plus,Rank,Price,Booked
453,AkyZ62ov,27668343,0,13,250,0
454,AkyZ62ov,28483791,0,14,124,0
455,AkyZ62ov,28488431,0,15,208,0
456,AkyZ62ov,28495316,0,16,150,0
457,AkyZ62ov,31571374,0,17,243,0
458,AkyZ62ov,31802949,0,18,200,0
459,AkyZ62ov,32118568,0,19,173,0
460,AkyZ62ov,36104319,0,20,188,0
461,AkyZ62ov,36637796,0,21,178,1
462,AkyZ62ov,36982780,0,22,95,0
463,AkyZ62ov,38022100,0,23,203,0
464,AkyZ62ov,38123319,0,24,210,0
465,AkyZ62ov,38151123,0,25,210,0
466,AkyZ62ov,38678234,0,26,399,0
467,AkyZ62ov,39007825,0,27,174,0
468,AkyZ62ov,39359174,0,28,219,0
469,AkyZ62ov,39569048,0,29,175,0
470,AkyZ62ov,40536667,0,30,234,0
471,AkyZ62ov,42049771,0,31,169,0
472,AkyZ62ov,43123765,0,32,245,0
473,AkyZ62ov,43156280,0,33,182,0
474,AkyZ62ov,43348175,0,34,200,0
475,AkyZ62ov,43367113,0,35,185,0
476,AkyZ62ov,43820536,0,36,189,0
477,AkyZ62ov,44519908,0,37,100,0
478,AkyZ62ov,44608896,0,38,227,0
479,AkyZ62ov,45053706,0,39,160,0
480,AkyZ62ov,45469731,0,40,178,0
481,ASovpcbq,793723,0,1,250,0
482,ASovpcbq,5374761,0,2,210,0
483,ASovpcbq,7576657,0,3,186,0
484,ASovpcbq,11815241,0,4,282,0
485,ASovpcbq,13140432,0,5,235,0
486,ASovpcbq,14068513,0,6,282,0
487,ASovpcbq,14071933,0,7,282,1
488,ASovpcbq,14072680,0,8,282,0
489,ASovpcbq,20322055,0,9,252,0
490,ASovpcbq,20322202,0,10,223,0
491,ASovpcbq,21062970,0,11,235,0
492,ASovpcbq,21267121,0,12,282,0
493,ASovpcbq,27668343,0,13,250,0
494,ASovpcbq,28483791,0,14,124,0
495,ASovpcbq,28488431,0,15,208,0
496,ASovpcbq,28495316,0,16,150,0
497,ASovpcbq,31571374,0,17,243,0
498,ASovpcbq,31802949,0,18,200,0
499,ASovpcbq,32118568,0,19,173,0
500,ASovpcbq,36104319,0,20,188,0
501,ASovpcbq,36637796,0,21,178,0
502,ASovpcbq,36982780,0,22,95,0
503,ASovpcbq,38022100,0,23,203,0
504,ASovpcbq,38123319,0,24,210,0
505,ASovpcbq,38151123,0,25,210,0
506,ASovpcbq,38678234,0,26,399,0
507,ASovpcbq,39007825,0,27,174,0
508,ASovpcbq,39359174,0,28,219,0
509,ASovpcbq,39569048,0,29,175,0
510,ASovpcbq,40536667,0,30,234,0
511,ASovpcbq,42049771,0,31,169,0
512,ASovpcbq,43123765,0,32,245,0
513,ASovpcbq,43156280,0,33,182,0
514,ASovpcbq,43348175,0,34,200,0
515,ASovpcbq,43367113,0,35,185,0
516,ASovpcbq,43820536,0,36,189,0
517,ASovpcbq,44519908,0,37,100,0
518,ASovpcbq,44608896,0,38,227,0
519,ASovpcbq,45053706,0,39,160,0
520,ASovpcbq,45469731,0,40,178,0
521,atbc8qYZ,793723,0,1,250,0
522,atbc8qYZ,5374761,0,2,210,0
523,atbc8qYZ,7576657,0,3,186,0
524,atbc8qYZ,11815241,0,4,282,0
525,atbc8qYZ,13140432,0,5,235,0
526,atbc8qYZ,14068513,0,6,282,0
527,atbc8qYZ,14071933,0,7,282,0
528,atbc8qYZ,14072680,0,8,282,0
529,atbc8qYZ,20322055,0,9,252,0
530,atbc8qYZ,20322202,0,10,223,0
531,atbc8qYZ,21062970,0,11,235,0
532,atbc8qYZ,21267121,0,12,282,0
533,atbc8qYZ,27668343,0,13,250,0
534,atbc8qYZ,28483791,0,14,124,0
535,atbc8qYZ,28488431,0,15,208,0
536,atbc8qYZ,28495316,0,16,150,0
537,atbc8qYZ,31571374,0,17,243,0
538,atbc8qYZ,31802949,0,18,200,0
539,atbc8qYZ,32118568,0,19,173,1
540,atbc8qYZ,36104319,0,20,188,0
541,atbc8qYZ,36637796,0,21,178,0
542,atbc8qYZ,36982780,0,22,95,0
543,atbc8qYZ,38022100,0,23,203,0
544,atbc8qYZ,38123319,0,24,210,0
545,atbc8qYZ,38151123,0,25,210,0
546,atbc8qYZ,38678234,0,26,399,0
547,atbc8qYZ,39007825,0,27,174,0
548,atbc8qYZ,39359174,0,28,219,0
549,atbc8qYZ,39569048,0,29,175,0
550,atbc8qYZ,40536667,0,30,234,0
551,atbc8qYZ,42049771,0,31,169,0
552,atbc8qYZ,43123765,0,32,245,0
553,atbc8qYZ,43156280,0,33,182,0
554,atbc8qYZ,43348175,0,34,200,0
